127.0.0.1 - - [09/Nov/2015:11:15:10 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:15:10 -0500] "GET /blackjack/ HTTP/1.1" 200 9317
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:15:10 -0500] "GET /blackjack/deck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:50 -0500] "GET //blackjack/ HTTP/1.1" 200 9317
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:50 -0500] "GET //blackjack/deck.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:50 -0500] "GET //blackjack/game.js HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:51 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:51 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:55 -0500] "GET //blackjack/ HTTP/1.1" 200 9317
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:55 -0500] "GET //blackjack/deck.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:55 -0500] "GET //blackjack/game.js HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:55 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:55 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:59 -0500] "GET //blackjack/ HTTP/1.1" 200 9317
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:59 -0500] "GET //blackjack/deck.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:25:59 -0500] "GET //blackjack/game.js HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:26:00 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Nov/2015:11:26:00 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Nov/2015:12:18:51 -0500] "GET /blackjack/ HTTP/1.1" 200 9317
0:0:0:0:0:0:0:1 - - [09/Nov/2015:12:18:51 -0500] "GET /blackjack/deck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:12:18:51 -0500] "GET /blackjack/game.js HTTP/1.1" 304 -
